10288,00
11327,00
11329,00
11340,00
11342,00
11343,00
11464,00
11610,00
12622,00
13249,00
13250,00
13548,00
13793,00
14301,00
14413,00
14716,00
14719,00
15092,00
15395,00
15403,00
15460,00
15461,00
16542,00
18352,00
18646,00
18653,00
18671,00
18674,00
18675pr0001,00
18675pr0002,00
18675pr0004b,00
18675pr0005,00
18675pr0006,00
18838,00
18943,00
18974,00
18975,00
18978b,00
18980,00
19086,00
19159,00
20252,00
20309,00
20310,00
21229,00
21445,00
21699,00
21755,00
21849pr0001,00
22385,00
22385pr0006,00
22385pr0024,00
22385pr0034,00
22385pr0035,00
22385pr0036,00
22385pr0037,00
22385pr0056,00
22385pr0057,00
22385pr0058,00
22385pr0059,00
22484,00
22885,00
22888,00
22961,00
23443,00
23444,00
24010,00
24087,00
24122,00
24124,00
24201,00
24217,00
24299,00
24307,00
24316,00
2437,00
2440,00
2465,00
2476a,00
24902,00
26047,00
26138,00
27167,00
27168,00
27186,00
27255,00
27263,00
27507,00
27925,00
28192,00
28327,00
30304,00
30361c,00
3184,00
32555,00
3300,00
3685,00
3688,00
3940b,00
4079b,00
41752,00
41767,00
41768,00
4204,00
4218,00
43720,00
43721,00
44567b,00
4489b,00
4515,00
4536,00
4738a,00
4739a,00
47458,00
47543,00
47543pr0001b,00
47758,00
4869,00
55817,00
57585,00
60169,00
60212,00
6112,00
6132,00
61484,00
6178,00
6190,00
64451,00
6572,00
6585,00
6881b,00
74261,00
758c02,00
75c10,00
78c19,00
85975,00
87567pr02,00
87569pr02,00
87618,00
87620,00
88064pr0001,00
88065pr0001,00
88066,00
90607,00
90609,00
90615,00
90638,00
90639,00
90641,00
90652,00
90661,00
91501,00
92338,00
92851,00
92906,00
95120,00
95229,00
98109pr01c01,00
98112pr01,00
98284,00
98397,00
98577,00
64567,01.01
64644,01.01
4599b,01.02
4697b,01.02
99021,01.02
4727,01.03
4728,01.03
18673,01.04
92690,01.04
54200,01.05
15672,01.07
92946,01.07
15332,01.08
30055,01.08
3633,01.08
30162,01.09
42446,01.09
20953pr0001,01.10
30151a,01.10
30151b,01.10
30361,01.10
30361dps1,01.10
30361dps5,01.10
30361pr1001,01.10
30361pr1002,01.10
30361pr1008,01.10
98100,01.10
98100pr1000,01.10
30106,01.11
30367b,01.11
30367c,01.11
30367cpr0003,01.11
30367cpr0006,01.11
30367cpr1001,01.11
30367cpr1002,01.11
30367cpr1003,01.11
30367cpr1008,01.11
3942c,01.11
30165,01.12
3830,01.13
3831,01.13
2496,01.14
2655,01.14
73983,01.14
3937,01.15
3938,01.16
6134,01.16
3679,01.17
3680,01.17
4081b,01.17
30552,01.18
41532,01.18
30553,01.19
30554a,01.19
30554b,01.19
4032a,01.20
4032b,01.20
14769,01.21
14769pr0001,01.21
14769pr086,01.21
14769pr1005,01.21
14769pr1054,01.21
15535,01.21
4150,01.21
4150p02,01.21
4150pr0001,01.21
4150pr0022,01.21
4740,01.21
2654,01.22
2654pr0006,01.22
61485,01.23
30586,01.24
4510,01.24
3941,01.25
92947,01.25
20952pr0001,01.26
2512,01.26
4083,01.26
6140,01.26
6187,01.26
11055,01.27
11090,01.27
15210,01.27
